名称,廉价,口感,卫生,健康,服务,店铺数,预制菜维度分
华莱士,9,4,1,3,4,8,0
兰州拉面,7,1.5,3,2,5,9,5
塔斯汀,7,5,5,4.5,5,8,2
食其家,5,7.5,7,7,6,5,4
咬不得,6,6,7,7,6,6,4
海底捞,2.5,7,7,7,9,4,6
麦当劳,4.5,8,8,5,6.5,8,3
老乡鸡,3,8,9,7,6,6,7
沙县小吃,9,7,3,5.5,5,9,8
